"Position","Company Name","Theme Inclusion Reason","Current Price","Price Change","Percentage Change","Opening Price","Trading Volume","Market Cap","Company Link","Discussion Link","Discussion Image"
1,"가온전선","LS그룹 계열사로 전력케이블 및 통신케이블 등을 생산하는 국내 3대 전선 전문 제조업체.","85,400","상승
 7,500","+9.63%","84,900","62,729","58,728","https://finance.naver.com/item/main.naver?code=000500","https://finance.naver.com/item/board.naver?code=000500","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
2,"LS","LS그룹의 지주회사로 전선 제조업체인 LS전선을 자회사로 보유.","205,000","상승
 15,800","+8.35%","205,000","340,258","118,253","https://finance.naver.com/item/main.naver?code=006260","https://finance.naver.com/item/board.naver?code=006260","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
3,"대한전선","초고압케이블 등의 전력선과 소재, 통신케이블 등의 제품을 생산 및 판매하고, 각종 전선 관련 공사를 진행하는 종합 전선업체. 주요 생산 및 판매 품목은 초고압케이블 등 전력선, 소재, 통신케이블, Copper Rod 등.","23,600","상승
 1,700","+7.76%","23,700","6,139,682","1,758,528","https://finance.naver.com/item/main.naver?code=001440","https://finance.naver.com/item/board.naver?code=001440","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
4,"대원전선","전력 및 통신 케이블 제조/판매업체. 주요 품목으로는 전력배송전에 사용되는 나선과 전력전선, 전원의 배선용에 사용되는 절연전선, 시내외 통신용으로 사용되는 통신전선 등이 있음.","3,875","상승
 235","+6.46%","3,875","3,986,407","1,757,612","https://finance.naver.com/item/main.naver?code=006340","https://finance.naver.com/item/board.naver?code=006340","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
5,"일진전기","각종 전선(초고압전선, 중고압전선 등), 전력기기(개폐기, 변압기 등)을 전문적으로 제조, 판매하는 종합 중전기 제조업체.","55,200","상승
 2,600","+4.94%","55,300","482,933","342,173","https://finance.naver.com/item/main.naver?code=103590","https://finance.naver.com/item/board.naver?code=103590","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
6,"KBI메탈 *","전선제조용 동선(ROD) 사업 영위. 전선사업(전선 제조/판매)을 영위하는 KBI코스모링크를 계열회사로 보유하고 있으며, KBI COSMOLINK-VINA CABLE CO., LTD.를 종속회사로 보유.","1,793","상승
 62","+3.58%","1,804","1,185,110","437,160","https://finance.naver.com/item/main.naver?code=024840","https://finance.naver.com/item/board.naver?code=024840","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
7,"LS마린솔루션 *","해저 통신망 건설업체로 해저통신/전력케이블 시공 및 유지보수 사업 영위중. 전남 해상풍력 1단지(96MW), 제주-완도 HVDC 매설 공사 등 해저전력케이블 시공 프로젝트 수주 이력 보유.","30,500","상승
 950","+3.21%","30,300","224,721","397,733","https://finance.naver.com/item/main.naver?code=060370","https://finance.naver.com/item/board.naver?code=060370","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
8,"LS에코에너지","LS그룹 계열의 외국기업지배지주회사. 베트남 전력케이블 생산법인인 LS-VINA Cable & System Joint Stock Co.와 전력 및 통신케이블 생산법인인 LS Cable & System Vietnam Co., Ltd 등을 주요 종속회사로 보유.","35,400","상승
 1,000","+2.91%","35,400","106,518","118,798","https://finance.naver.com/item/main.naver?code=229640","https://finance.naver.com/item/board.naver?code=229640","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
9,,,,,,,,,,,
10,,,,,,,,,,,
